state,beer_category,n
CO,Ale,230
CA,Ale,166
MI,Ale,138
IN,Ale,124
TX,Ale,109
OR,Ale,102
IL,Ale,86
PA,Ale,77
MA,Ale,59
NC,Ale,57
NY,Ale,57
FL,Ale,54
WA,Ale,52
MN,Ale,48
WI,Ale,48
AZ,Ale,43
OH,Ale,43
WI,Lager,37
MT,Ale,36
MO,Ale,34
CO,Lager,32
VA,Ale,32
ID,Ale,26
IA,Ale,25
ME,Ale,25
AK,Ale,24
VT,Ale,24
CT,Ale,23
NE,Ale,23
KS,Ale,22
HI,Ale,21
PA,Lager,21
TX,Lager,21
MA,Lager,20
RI,Ale,20
KY,Ale,19
MD,Ale,19
UT,Ale,18
CA,Lager,17
LA,Ale,17
NY,Lager,17
OK,Ale,16
IN,Lager,15
GA,Ale,14
SC,Ale,14
MI,Other,13
OR,Lager,13
WY,Ale,13
MI,Lager,11
MS,Ale,11
NM,Ale,11
WA,Lager,11
AL,Ale,10
OR,Other,10
DC,Ale,8
MO,Lager,8
NJ,Ale,8
UT,Lager,8
VA,Lager,8
MN,Lager,7
NH,Ale,7
NV,Ale,7
RI,Lager,7
SD,Ale,7
HI,Lager,6
IA,Lager,5
IL,Lager,5
WA,Other,5
AR,Ale,4
AZ,Lager,4
CT,Lager,4
FL,Lager,4
ID,Lager,4
MT,Lager,4
NV,Lager,4
TN,Ale,4
CO,Other,3
MA,Other,3
ND,Ale,3
NM,Lager,3
OH,Lager,3
OH,Other,3
OK,Lager,3
DE,Ale,2
GA,Lager,2
KY,Lager,2
LA,Lager,2
MD,Lager,2
ME,Lager,2
NC,Lager,2
NE,Lager,2
PA,Other,2
TN,Lager,2
VT,Lager,2
WI,Other,2
WV,Ale,2
WY,Lager,2
AK,Lager,1
AR,Lager,1
KS,Lager,1
NH,Lager,1
VT,Other,1
